secteur,prospects_contactes,reponses,rendez_vous,propositions_envoyees,conversions
Technologie,30,7,11,8,5
Services,32,9,10,9,1
Logistique,29,25,11,4,1
Distribution,10,24,9,6,4
Finance,21,21,5,9,1
Technologie,16,17,2,5,5
Commerce,25,13,5,2,5
Commerce,31,16,0,4,1
Éducation,14,13,4,1,5
Finance,13,14,7,6,1
Logistique,41,14,5,8,3
Commerce,40,20,10,10,1
Distribution,38,4,12,0,2
Finance,30,10,1,1,2
Distribution,34,7,11,1,4
Commerce,31,21,9,7,5
Finance,37,22,2,9,3
Distribution,13,5,5,3,1
Logistique,45,25,11,8,2
Technologie,28,11,3,1,0
Logistique,45,17,2,0,2
Finance,37,4,4,10,5
Services,40,8,1,0,1
Distribution,28,4,7,1,2
Logistique,40,17,10,4,0
Technologie,44,14,2,5,3
Immobilier,21,16,0,4,3
Industrie,26,9,4,9,0
Distribution,16,4,10,5,4
Logistique,24,19,0,6,4
Logistique,44,23,7,9,1
Industrie,29,4,6,0,4
Services,43,20,10,9,1
Commerce,38,7,2,3,1
Distribution,12,15,1,10,3
Éducation,19,21,4,5,5
Commerce,15,14,8,6,4
Immobilier,27,18,7,0,5
Services,43,15,1,6,1
Distribution,16,5,9,1,2
